Epoch 1, Train Loss: 0.334309, Train Accuracy: 90.355%, Test Loss: 0.214135, Test Accuracy: 93.28%
Epoch 2, Train Loss: 0.162373, Train Accuracy: 95.225%, Test Loss: 0.160041, Test Accuracy: 95.1%
Epoch 3, Train Loss: 0.124804, Train Accuracy: 96.3783%, Test Loss: 0.145581, Test Accuracy: 95.32%
Epoch 4, Train Loss: 0.102343, Train Accuracy: 97.0667%, Test Loss: 0.138269, Test Accuracy: 95.61%
Epoch 5, Train Loss: 0.0865163, Train Accuracy: 97.4967%, Test Loss: 0.143338, Test Accuracy: 95.46%
Epoch 6, Train Loss: 0.0739577, Train Accuracy: 97.8317%, Test Loss: 0.152417, Test Accuracy: 95.24%
Epoch 7, Train Loss: 0.0639328, Train Accuracy: 98.1317%, Test Loss: 0.14277, Test Accuracy: 95.6%
Epoch 8, Train Loss: 0.0554368, Train Accuracy: 98.415%, Test Loss: 0.149047, Test Accuracy: 95.49%
Epoch 9, Train Loss: 0.0483592, Train Accuracy: 98.65%, Test Loss: 0.131562, Test Accuracy: 96.08%
Epoch 10, Train Loss: 0.0423251, Train Accuracy: 98.8183%, Test Loss: 0.123902, Test Accuracy: 96.46%
Epoch 11, Train Loss: 0.0370836, Train Accuracy: 98.94%, Test Loss: 0.120218, Test Accuracy: 96.69%
Epoch 12, Train Loss: 0.0329179, Train Accuracy: 99.1267%, Test Loss: 0.121919, Test Accuracy: 96.7%
Epoch 13, Train Loss: 0.0286374, Train Accuracy: 99.2517%, Test Loss: 0.114007, Test Accuracy: 96.93%
Epoch 14, Train Loss: 0.025538, Train Accuracy: 99.3467%, Test Loss: 0.119544, Test Accuracy: 96.86%
Epoch 15, Train Loss: 0.0222035, Train Accuracy: 99.4567%, Test Loss: 0.12226, Test Accuracy: 97%
Epoch 16, Train Loss: 0.0198942, Train Accuracy: 99.5317%, Test Loss: 0.115918, Test Accuracy: 96.99%
Epoch 17, Train Loss: 0.0173402, Train Accuracy: 99.58%, Test Loss: 0.123072, Test Accuracy: 97.08%
Epoch 18, Train Loss: 0.0147864, Train Accuracy: 99.6667%, Test Loss: 0.130585, Test Accuracy: 96.96%
Epoch 19, Train Loss: 0.0160322, Train Accuracy: 99.5433%, Test Loss: 0.130683, Test Accuracy: 96.92%
Epoch 20, Train Loss: 0.0145088, Train Accuracy: 99.5817%, Test Loss: 0.135531, Test Accuracy: 96.9%
Epoch 21, Train Loss: 0.0122578, Train Accuracy: 99.6417%, Test Loss: 0.142912, Test Accuracy: 96.88%
Epoch 22, Train Loss: 0.0111993, Train Accuracy: 99.6883%, Test Loss: 0.137981, Test Accuracy: 97.05%
Epoch 23, Train Loss: 0.0101029, Train Accuracy: 99.71%, Test Loss: 0.150081, Test Accuracy: 96.84%
Epoch 24, Train Loss: 0.0102494, Train Accuracy: 99.72%, Test Loss: 0.1537, Test Accuracy: 96.78%
Epoch 25, Train Loss: 0.00904306, Train Accuracy: 99.77%, Test Loss: 0.147086, Test Accuracy: 96.98%
Epoch 26, Train Loss: 0.00956227, Train Accuracy: 99.6883%, Test Loss: 0.146673, Test Accuracy: 97.13%
Epoch 27, Train Loss: 0.00765453, Train Accuracy: 99.7833%, Test Loss: 0.153266, Test Accuracy: 97.11%
Epoch 28, Train Loss: 0.0072895, Train Accuracy: 99.7767%, Test Loss: 0.157838, Test Accuracy: 96.94%
Epoch 29, Train Loss: 0.00625618, Train Accuracy: 99.8383%, Test Loss: 0.168168, Test Accuracy: 96.92%
Epoch 30, Train Loss: 0.00773023, Train Accuracy: 99.8033%, Test Loss: 0.159339, Test Accuracy: 96.85%
Epoch 31, Train Loss: 0.00881725, Train Accuracy: 99.72%, Test Loss: 0.152633, Test Accuracy: 97.02%
Epoch 32, Train Loss: 0.00639891, Train Accuracy: 99.81%, Test Loss: 0.160817, Test Accuracy: 97.07%
Epoch 33, Train Loss: 0.00448609, Train Accuracy: 99.8883%, Test Loss: 0.150064, Test Accuracy: 97.08%
Epoch 34, Train Loss: 0.00507431, Train Accuracy: 99.8733%, Test Loss: 0.159714, Test Accuracy: 96.98%
Epoch 35, Train Loss: 0.00935061, Train Accuracy: 99.665%, Test Loss: 0.156115, Test Accuracy: 97.07%
Epoch 36, Train Loss: 0.00780216, Train Accuracy: 99.7617%, Test Loss: 0.174496, Test Accuracy: 97.1%
Epoch 37, Train Loss: 0.00316047, Train Accuracy: 99.9317%, Test Loss: 0.181051, Test Accuracy: 96.93%
Epoch 38, Train Loss: 0.00516405, Train Accuracy: 99.855%, Test Loss: 0.174655, Test Accuracy: 97.04%
Epoch 39, Train Loss: 0.00760072, Train Accuracy: 99.7383%, Test Loss: 0.163217, Test Accuracy: 97.13%
Epoch 40, Train Loss: 0.0051819, Train Accuracy: 99.85%, Test Loss: 0.170926, Test Accuracy: 97.06%
Epoch 41, Train Loss: 0.00562946, Train Accuracy: 99.8117%, Test Loss: 0.203296, Test Accuracy: 96.91%
Epoch 42, Train Loss: 0.00711377, Train Accuracy: 99.7617%, Test Loss: 0.166357, Test Accuracy: 97.21%
Epoch 43, Train Loss: 0.00262846, Train Accuracy: 99.93%, Test Loss: 0.167664, Test Accuracy: 97.22%
Epoch 44, Train Loss: 0.00424155, Train Accuracy: 99.865%, Test Loss: 0.163347, Test Accuracy: 97.23%
Epoch 45, Train Loss: 0.00556519, Train Accuracy: 99.805%, Test Loss: 0.179796, Test Accuracy: 97.23%
Epoch 46, Train Loss: 0.00530241, Train Accuracy: 99.8367%, Test Loss: 0.166442, Test Accuracy: 97.21%
Epoch 47, Train Loss: 0.00349453, Train Accuracy: 99.8933%, Test Loss: 0.186944, Test Accuracy: 97.14%
Epoch 48, Train Loss: 0.00413076, Train Accuracy: 99.8767%, Test Loss: 0.179781, Test Accuracy: 97.1%
Epoch 49, Train Loss: 0.00486004, Train Accuracy: 99.8567%, Test Loss: 0.222611, Test Accuracy: 96.59%
Epoch 50, Train Loss: 0.00466965, Train Accuracy: 99.835%, Test Loss: 0.24269, Test Accuracy: 96.29%
Epoch 51, Train Loss: 0.00467057, Train Accuracy: 99.8683%, Test Loss: 0.197259, Test Accuracy: 97%
Epoch 52, Train Loss: 0.00507859, Train Accuracy: 99.8283%, Test Loss: 0.187282, Test Accuracy: 97.08%
Epoch 53, Train Loss: 0.00345412, Train Accuracy: 99.9033%, Test Loss: 0.178496, Test Accuracy: 97.23%
Epoch 54, Train Loss: 0.00489923, Train Accuracy: 99.845%, Test Loss: 0.185946, Test Accuracy: 97.04%
Epoch 55, Train Loss: 0.00483379, Train Accuracy: 99.84%, Test Loss: 0.194292, Test Accuracy: 97.21%
Epoch 56, Train Loss: 0.00478643, Train Accuracy: 99.8383%, Test Loss: 0.187721, Test Accuracy: 97.25%
Epoch 57, Train Loss: 0.00188467, Train Accuracy: 99.945%, Test Loss: 0.18872, Test Accuracy: 97.2%
Epoch 58, Train Loss: 0.00523482, Train Accuracy: 99.8383%, Test Loss: 0.222182, Test Accuracy: 97%
Epoch 59, Train Loss: 0.00568005, Train Accuracy: 99.8333%, Test Loss: 0.214201, Test Accuracy: 96.99%
Epoch 60, Train Loss: 0.00274618, Train Accuracy: 99.915%, Test Loss: 0.20226, Test Accuracy: 97.18%
Epoch 61, Train Loss: 0.00155181, Train Accuracy: 99.9633%, Test Loss: 0.19446, Test Accuracy: 97.35%
Epoch 62, Train Loss: 0.000378436, Train Accuracy: 100%, Test Loss: 0.19273, Test Accuracy: 97.42%
Epoch 63, Train Loss: 0.00861389, Train Accuracy: 99.76%, Test Loss: 0.227392, Test Accuracy: 96.93%
Epoch 64, Train Loss: 0.00465242, Train Accuracy: 99.8517%, Test Loss: 0.197132, Test Accuracy: 97.21%
Epoch 65, Train Loss: 0.00145915, Train Accuracy: 99.9567%, Test Loss: 0.2084, Test Accuracy: 97.05%
Epoch 66, Train Loss: 0.00559651, Train Accuracy: 99.8183%, Test Loss: 0.222845, Test Accuracy: 97.03%
Epoch 67, Train Loss: 0.00301601, Train Accuracy: 99.895%, Test Loss: 0.255042, Test Accuracy: 96.75%
Epoch 68, Train Loss: 0.00585423, Train Accuracy: 99.815%, Test Loss: 0.22368, Test Accuracy: 97.12%
Epoch 69, Train Loss: 0.0039504, Train Accuracy: 99.8683%, Test Loss: 0.216062, Test Accuracy: 97.04%
Epoch 70, Train Loss: 0.00268399, Train Accuracy: 99.9267%, Test Loss: 0.202428, Test Accuracy: 97.32%
Epoch 71, Train Loss: 0.00354047, Train Accuracy: 99.89%, Test Loss: 0.236277, Test Accuracy: 97.09%
Epoch 72, Train Loss: 0.00398233, Train Accuracy: 99.87%, Test Loss: 0.221806, Test Accuracy: 97.14%
Epoch 73, Train Loss: 0.00267195, Train Accuracy: 99.9317%, Test Loss: 0.201114, Test Accuracy: 97.36%
Epoch 74, Train Loss: 0.00367025, Train Accuracy: 99.8967%, Test Loss: 0.219579, Test Accuracy: 97.18%
Epoch 75, Train Loss: 0.00294405, Train Accuracy: 99.9067%, Test Loss: 0.221989, Test Accuracy: 97.16%
Epoch 76, Train Loss: 0.00360828, Train Accuracy: 99.8933%, Test Loss: 0.228521, Test Accuracy: 96.96%
Epoch 77, Train Loss: 0.0036777, Train Accuracy: 99.8833%, Test Loss: 0.207561, Test Accuracy: 97.29%
Epoch 78, Train Loss: 0.00329273, Train Accuracy: 99.9033%, Test Loss: 0.21564, Test Accuracy: 97.21%
Epoch 79, Train Loss: 0.0035451, Train Accuracy: 99.8717%, Test Loss: 0.218476, Test Accuracy: 97.25%
Epoch 80, Train Loss: 0.00192665, Train Accuracy: 99.9317%, Test Loss: 0.215656, Test Accuracy: 97.24%
Epoch 81, Train Loss: 0.00197676, Train Accuracy: 99.945%, Test Loss: 0.270289, Test Accuracy: 96.75%
Epoch 82, Train Loss: 0.00503023, Train Accuracy: 99.825%, Test Loss: 0.212989, Test Accuracy: 97.3%
Epoch 83, Train Loss: 0.00187453, Train Accuracy: 99.9583%, Test Loss: 0.209005, Test Accuracy: 97.26%
Epoch 84, Train Loss: 0.0016088, Train Accuracy: 99.95%, Test Loss: 0.251674, Test Accuracy: 96.96%
Epoch 85, Train Loss: 0.00497571, Train Accuracy: 99.8333%, Test Loss: 0.215717, Test Accuracy: 97.27%
Epoch 86, Train Loss: 0.00255822, Train Accuracy: 99.925%, Test Loss: 0.230551, Test Accuracy: 97.21%
Epoch 87, Train Loss: 0.00356396, Train Accuracy: 99.87%, Test Loss: 0.210886, Test Accuracy: 97.35%
Epoch 88, Train Loss: 0.00297611, Train Accuracy: 99.89%, Test Loss: 0.21767, Test Accuracy: 97.28%
Epoch 89, Train Loss: 0.00359751, Train Accuracy: 99.8967%, Test Loss: 0.23615, Test Accuracy: 96.99%
