Epoch 1, Train Loss: 0.330801, Train Accuracy: 90.4767%, Test Loss: 0.184479, Test Accuracy: 94.25%
Epoch 2, Train Loss: 0.15348, Train Accuracy: 95.4517%, Test Loss: 0.131951, Test Accuracy: 95.98%
Epoch 3, Train Loss: 0.112456, Train Accuracy: 96.66%, Test Loss: 0.12464, Test Accuracy: 96.12%
Epoch 4, Train Loss: 0.087971, Train Accuracy: 97.3483%, Test Loss: 0.120671, Test Accuracy: 96.26%
Epoch 5, Train Loss: 0.0712029, Train Accuracy: 97.915%, Test Loss: 0.114187, Test Accuracy: 96.61%
Epoch 6, Train Loss: 0.0591508, Train Accuracy: 98.2933%, Test Loss: 0.121935, Test Accuracy: 96.49%
Epoch 7, Train Loss: 0.0488321, Train Accuracy: 98.65%, Test Loss: 0.12132, Test Accuracy: 96.57%
Epoch 8, Train Loss: 0.0405766, Train Accuracy: 98.8967%, Test Loss: 0.14263, Test Accuracy: 96.1%
Epoch 9, Train Loss: 0.0343354, Train Accuracy: 99.07%, Test Loss: 0.139665, Test Accuracy: 96.25%
Epoch 10, Train Loss: 0.0295981, Train Accuracy: 99.1433%, Test Loss: 0.121233, Test Accuracy: 96.84%
Epoch 11, Train Loss: 0.0257188, Train Accuracy: 99.255%, Test Loss: 0.129037, Test Accuracy: 96.78%
Epoch 12, Train Loss: 0.0225895, Train Accuracy: 99.315%, Test Loss: 0.130729, Test Accuracy: 96.93%
Epoch 13, Train Loss: 0.0201126, Train Accuracy: 99.405%, Test Loss: 0.128129, Test Accuracy: 96.98%
Epoch 14, Train Loss: 0.0173062, Train Accuracy: 99.485%, Test Loss: 0.138554, Test Accuracy: 96.92%
Epoch 15, Train Loss: 0.0177925, Train Accuracy: 99.425%, Test Loss: 0.129101, Test Accuracy: 97.19%
Epoch 16, Train Loss: 0.0159736, Train Accuracy: 99.4833%, Test Loss: 0.160188, Test Accuracy: 96.85%
Epoch 17, Train Loss: 0.013277, Train Accuracy: 99.57%, Test Loss: 0.151301, Test Accuracy: 97.02%
Epoch 18, Train Loss: 0.0149524, Train Accuracy: 99.49%, Test Loss: 0.131142, Test Accuracy: 97.29%
Epoch 19, Train Loss: 0.0132912, Train Accuracy: 99.5683%, Test Loss: 0.12858, Test Accuracy: 97.4%
Epoch 20, Train Loss: 0.0106288, Train Accuracy: 99.685%, Test Loss: 0.14866, Test Accuracy: 97.12%
