Epoch 1, Train Loss: 1.95002, Train Accuracy: 37.1367%, Test Loss: 1.41732, Test Accuracy: 68.94%
Epoch 2, Train Loss: 1.18402, Train Accuracy: 73.855%, Test Loss: 0.972455, Test Accuracy: 79.07%
Epoch 3, Train Loss: 0.884286, Train Accuracy: 79.815%, Test Loss: 0.769662, Test Accuracy: 82.55%
Epoch 4, Train Loss: 0.733216, Train Accuracy: 82.7117%, Test Loss: 0.656392, Test Accuracy: 84.6%
Epoch 5, Train Loss: 0.642528, Train Accuracy: 84.295%, Test Loss: 0.583913, Test Accuracy: 85.98%
Epoch 6, Train Loss: 0.581662, Train Accuracy: 85.4417%, Test Loss: 0.533217, Test Accuracy: 86.74%
Epoch 7, Train Loss: 0.537677, Train Accuracy: 86.2517%, Test Loss: 0.495531, Test Accuracy: 87.42%
Epoch 8, Train Loss: 0.504203, Train Accuracy: 86.8517%, Test Loss: 0.466264, Test Accuracy: 88.05%
Epoch 9, Train Loss: 0.47775, Train Accuracy: 87.3617%, Test Loss: 0.442794, Test Accuracy: 88.52%
Epoch 10, Train Loss: 0.456243, Train Accuracy: 87.775%, Test Loss: 0.423503, Test Accuracy: 88.85%
Epoch 11, Train Loss: 0.438369, Train Accuracy: 88.1667%, Test Loss: 0.407343, Test Accuracy: 89.14%
Epoch 12, Train Loss: 0.423254, Train Accuracy: 88.495%, Test Loss: 0.3936, Test Accuracy: 89.41%
Epoch 13, Train Loss: 0.410291, Train Accuracy: 88.7633%, Test Loss: 0.381764, Test Accuracy: 89.63%
Epoch 14, Train Loss: 0.399045, Train Accuracy: 89.0067%, Test Loss: 0.371469, Test Accuracy: 89.86%
Epoch 15, Train Loss: 0.389195, Train Accuracy: 89.18%, Test Loss: 0.362436, Test Accuracy: 89.97%
