Epoch 1, Train Loss: 0.64819, Train Accuracy: 80.21%, Test Loss: 0.378405, Test Accuracy: 88.36%
Epoch 2, Train Loss: 0.325493, Train Accuracy: 90.68%, Test Loss: 0.28162, Test Accuracy: 91.72%
Epoch 3, Train Loss: 0.257951, Train Accuracy: 92.6433%, Test Loss: 0.226612, Test Accuracy: 93.21%
Epoch 4, Train Loss: 0.217015, Train Accuracy: 93.7333%, Test Loss: 0.210734, Test Accuracy: 93.97%
Epoch 5, Train Loss: 0.193175, Train Accuracy: 94.4633%, Test Loss: 0.191294, Test Accuracy: 94.29%
Epoch 6, Train Loss: 0.176728, Train Accuracy: 94.86%, Test Loss: 0.19669, Test Accuracy: 94.52%
Epoch 7, Train Loss: 0.162342, Train Accuracy: 95.1867%, Test Loss: 0.184952, Test Accuracy: 94.66%
Epoch 8, Train Loss: 0.154531, Train Accuracy: 95.5067%, Test Loss: 0.179701, Test Accuracy: 95.02%
Epoch 9, Train Loss: 0.143894, Train Accuracy: 95.7183%, Test Loss: 0.163083, Test Accuracy: 95.34%
Epoch 10, Train Loss: 0.138965, Train Accuracy: 95.9683%, Test Loss: 0.165555, Test Accuracy: 95.27%
Epoch 11, Train Loss: 0.128506, Train Accuracy: 96.1217%, Test Loss: 0.162256, Test Accuracy: 95.29%
Epoch 12, Train Loss: 0.127054, Train Accuracy: 96.2417%, Test Loss: 0.165746, Test Accuracy: 95.38%
Epoch 13, Train Loss: 0.120776, Train Accuracy: 96.36%, Test Loss: 0.159364, Test Accuracy: 95.5%
Epoch 14, Train Loss: 0.119291, Train Accuracy: 96.45%, Test Loss: 0.167047, Test Accuracy: 95.37%
Epoch 15, Train Loss: 0.114211, Train Accuracy: 96.605%, Test Loss: 0.160296, Test Accuracy: 95.57%
Epoch 16, Train Loss: 0.110611, Train Accuracy: 96.6333%, Test Loss: 0.155251, Test Accuracy: 95.73%
Epoch 17, Train Loss: 0.109254, Train Accuracy: 96.7383%, Test Loss: 0.154937, Test Accuracy: 95.64%
Epoch 18, Train Loss: 0.105565, Train Accuracy: 96.7583%, Test Loss: 0.152284, Test Accuracy: 95.58%
Epoch 19, Train Loss: 0.104874, Train Accuracy: 96.735%, Test Loss: 0.152713, Test Accuracy: 95.82%
Epoch 20, Train Loss: 0.10107, Train Accuracy: 96.9067%, Test Loss: 0.163853, Test Accuracy: 95.53%
Epoch 21, Train Loss: 0.0979689, Train Accuracy: 97.0283%, Test Loss: 0.150374, Test Accuracy: 95.9%
Epoch 22, Train Loss: 0.0951266, Train Accuracy: 97.04%, Test Loss: 0.167304, Test Accuracy: 95.63%
