Epoch 1, Train Loss: 0.633999, Train Accuracy: 81.115%, Test Loss: 0.342281, Test Accuracy: 90.14%
Epoch 2, Train Loss: 0.438974, Train Accuracy: 87.5767%, Test Loss: 0.309169, Test Accuracy: 91.12%
Epoch 3, Train Loss: 0.41228, Train Accuracy: 88.4317%, Test Loss: 0.29355, Test Accuracy: 91.33%
Epoch 4, Train Loss: 0.402904, Train Accuracy: 88.645%, Test Loss: 0.276171, Test Accuracy: 92.1%
Epoch 5, Train Loss: 0.394642, Train Accuracy: 88.9217%, Test Loss: 0.282706, Test Accuracy: 91.88%
Epoch 6, Train Loss: 0.385742, Train Accuracy: 89.2617%, Test Loss: 0.284681, Test Accuracy: 91.84%
Epoch 7, Train Loss: 0.38171, Train Accuracy: 89.3417%, Test Loss: 0.277611, Test Accuracy: 91.88%
Epoch 8, Train Loss: 0.383654, Train Accuracy: 89.2133%, Test Loss: 0.287315, Test Accuracy: 91.62%
Epoch 9, Train Loss: 0.375836, Train Accuracy: 89.435%, Test Loss: 0.26776, Test Accuracy: 92.37%
Epoch 10, Train Loss: 0.370234, Train Accuracy: 89.7767%, Test Loss: 0.273547, Test Accuracy: 92.02%
Epoch 11, Train Loss: 0.373078, Train Accuracy: 89.55%, Test Loss: 0.271562, Test Accuracy: 92.16%
Epoch 12, Train Loss: 0.364883, Train Accuracy: 89.8217%, Test Loss: 0.282565, Test Accuracy: 91.6%
Epoch 13, Train Loss: 0.365846, Train Accuracy: 89.6883%, Test Loss: 0.272982, Test Accuracy: 91.91%
Epoch 14, Train Loss: 0.366581, Train Accuracy: 89.5733%, Test Loss: 0.272955, Test Accuracy: 92.15%
Epoch 15, Train Loss: 0.366578, Train Accuracy: 89.6533%, Test Loss: 0.274667, Test Accuracy: 91.97%
Epoch 16, Train Loss: 0.364174, Train Accuracy: 89.7867%, Test Loss: 0.2655, Test Accuracy: 92.33%
Epoch 17, Train Loss: 0.361373, Train Accuracy: 89.8917%, Test Loss: 0.271486, Test Accuracy: 92.06%
Epoch 18, Train Loss: 0.362556, Train Accuracy: 89.8817%, Test Loss: 0.265604, Test Accuracy: 92.25%
Epoch 19, Train Loss: 0.361479, Train Accuracy: 89.8483%, Test Loss: 0.274217, Test Accuracy: 91.61%
Epoch 20, Train Loss: 0.358916, Train Accuracy: 89.9933%, Test Loss: 0.258925, Test Accuracy: 92.37%
