Epoch 1, Train Loss: 0.649503, Train Accuracy: 80.0617%, Test Loss: 0.38267, Test Accuracy: 88.36%
Epoch 2, Train Loss: 0.334038, Train Accuracy: 90.41%, Test Loss: 0.284835, Test Accuracy: 91.6%
Epoch 3, Train Loss: 0.268223, Train Accuracy: 92.3067%, Test Loss: 0.232699, Test Accuracy: 93.09%
Epoch 4, Train Loss: 0.226266, Train Accuracy: 93.5167%, Test Loss: 0.217557, Test Accuracy: 93.7%
Epoch 5, Train Loss: 0.206227, Train Accuracy: 94.075%, Test Loss: 0.20068, Test Accuracy: 94.02%
Epoch 6, Train Loss: 0.19366, Train Accuracy: 94.44%, Test Loss: 0.202354, Test Accuracy: 93.97%
Epoch 7, Train Loss: 0.182278, Train Accuracy: 94.6333%, Test Loss: 0.189739, Test Accuracy: 94.56%
Epoch 8, Train Loss: 0.175847, Train Accuracy: 94.86%, Test Loss: 0.187099, Test Accuracy: 94.47%
Epoch 9, Train Loss: 0.169003, Train Accuracy: 95.02%, Test Loss: 0.172312, Test Accuracy: 94.78%
Epoch 10, Train Loss: 0.166879, Train Accuracy: 95.0867%, Test Loss: 0.1741, Test Accuracy: 94.84%
Epoch 11, Train Loss: 0.158835, Train Accuracy: 95.3383%, Test Loss: 0.168947, Test Accuracy: 95.04%
Epoch 12, Train Loss: 0.158638, Train Accuracy: 95.3817%, Test Loss: 0.170601, Test Accuracy: 95.15%
Epoch 13, Train Loss: 0.152352, Train Accuracy: 95.6117%, Test Loss: 0.168488, Test Accuracy: 94.9%
Epoch 14, Train Loss: 0.152438, Train Accuracy: 95.5683%, Test Loss: 0.165826, Test Accuracy: 95.24%
Epoch 15, Train Loss: 0.147944, Train Accuracy: 95.655%, Test Loss: 0.166642, Test Accuracy: 95.11%
Epoch 16, Train Loss: 0.145907, Train Accuracy: 95.7%, Test Loss: 0.169601, Test Accuracy: 94.8%
Epoch 17, Train Loss: 0.146129, Train Accuracy: 95.7233%, Test Loss: 0.16268, Test Accuracy: 95.21%
Epoch 18, Train Loss: 0.144222, Train Accuracy: 95.8017%, Test Loss: 0.161078, Test Accuracy: 95.3%
Epoch 19, Train Loss: 0.145696, Train Accuracy: 95.6717%, Test Loss: 0.156729, Test Accuracy: 95.43%
Epoch 20, Train Loss: 0.143202, Train Accuracy: 95.7817%, Test Loss: 0.173381, Test Accuracy: 94.81%
Epoch 21, Train Loss: 0.139207, Train Accuracy: 95.8417%, Test Loss: 0.165776, Test Accuracy: 94.9%
Epoch 22, Train Loss: 0.137363, Train Accuracy: 95.8383%, Test Loss: 0.17179, Test Accuracy: 94.89%
Epoch 23, Train Loss: 0.138473, Train Accuracy: 95.9667%, Test Loss: 0.165124, Test Accuracy: 95.35%
Epoch 24, Train Loss: 0.138261, Train Accuracy: 95.8783%, Test Loss: 0.155024, Test Accuracy: 95.62%
Epoch 25, Train Loss: 0.136263, Train Accuracy: 96.0117%, Test Loss: 0.158031, Test Accuracy: 95.38%
Epoch 26, Train Loss: 0.138336, Train Accuracy: 95.9%, Test Loss: 0.162822, Test Accuracy: 95.18%
Epoch 27, Train Loss: 0.134409, Train Accuracy: 96.005%, Test Loss: 0.15197, Test Accuracy: 95.7%
Epoch 28, Train Loss: 0.133408, Train Accuracy: 96.1583%, Test Loss: 0.156873, Test Accuracy: 95.29%
Epoch 29, Train Loss: 0.13682, Train Accuracy: 95.9983%, Test Loss: 0.149212, Test Accuracy: 95.78%
Epoch 30, Train Loss: 0.133682, Train Accuracy: 96.0167%, Test Loss: 0.155964, Test Accuracy: 95.46%
Epoch 31, Train Loss: 0.132545, Train Accuracy: 96.1183%, Test Loss: 0.162017, Test Accuracy: 95.48%
Epoch 32, Train Loss: 0.13375, Train Accuracy: 95.9533%, Test Loss: 0.155488, Test Accuracy: 95.35%
Epoch 33, Train Loss: 0.131046, Train Accuracy: 96.0833%, Test Loss: 0.161559, Test Accuracy: 95.24%
Epoch 34, Train Loss: 0.133796, Train Accuracy: 96.0483%, Test Loss: 0.162203, Test Accuracy: 95.23%
Epoch 35, Train Loss: 0.132262, Train Accuracy: 96.0767%, Test Loss: 0.157041, Test Accuracy: 95.52%
Epoch 36, Train Loss: 0.131887, Train Accuracy: 96.1283%, Test Loss: 0.149027, Test Accuracy: 95.59%
Epoch 37, Train Loss: 0.130842, Train Accuracy: 96.08%, Test Loss: 0.154127, Test Accuracy: 95.4%
Epoch 38, Train Loss: 0.131267, Train Accuracy: 96.045%, Test Loss: 0.165341, Test Accuracy: 95.12%
Epoch 39, Train Loss: 0.131326, Train Accuracy: 96.1033%, Test Loss: 0.154622, Test Accuracy: 95.69%
Epoch 40, Train Loss: 0.129077, Train Accuracy: 96.1833%, Test Loss: 0.153917, Test Accuracy: 95.52%
Epoch 41, Train Loss: 0.127609, Train Accuracy: 96.1367%, Test Loss: 0.160818, Test Accuracy: 95.35%
Epoch 42, Train Loss: 0.128252, Train Accuracy: 96.19%, Test Loss: 0.152082, Test Accuracy: 95.46%
Epoch 43, Train Loss: 0.126997, Train Accuracy: 96.23%, Test Loss: 0.163523, Test Accuracy: 95.27%
Epoch 44, Train Loss: 0.126062, Train Accuracy: 96.23%, Test Loss: 0.15695, Test Accuracy: 95.76%
Epoch 45, Train Loss: 0.127493, Train Accuracy: 96.2867%, Test Loss: 0.152643, Test Accuracy: 95.73%
Epoch 46, Train Loss: 0.126862, Train Accuracy: 96.305%, Test Loss: 0.156221, Test Accuracy: 95.46%
Epoch 47, Train Loss: 0.127241, Train Accuracy: 96.2167%, Test Loss: 0.156034, Test Accuracy: 95.41%
Epoch 48, Train Loss: 0.128321, Train Accuracy: 96.1783%, Test Loss: 0.148384, Test Accuracy: 95.73%
Epoch 49, Train Loss: 0.125999, Train Accuracy: 96.2617%, Test Loss: 0.151842, Test Accuracy: 95.62%
Epoch 50, Train Loss: 0.126316, Train Accuracy: 96.1867%, Test Loss: 0.147685, Test Accuracy: 95.71%
Epoch 51, Train Loss: 0.126071, Train Accuracy: 96.255%, Test Loss: 0.161799, Test Accuracy: 95.46%
Epoch 52, Train Loss: 0.12639, Train Accuracy: 96.28%, Test Loss: 0.154435, Test Accuracy: 95.42%
Epoch 53, Train Loss: 0.123038, Train Accuracy: 96.31%, Test Loss: 0.152992, Test Accuracy: 95.4%
Epoch 54, Train Loss: 0.126008, Train Accuracy: 96.2467%, Test Loss: 0.146553, Test Accuracy: 95.76%
Epoch 55, Train Loss: 0.124448, Train Accuracy: 96.2633%, Test Loss: 0.158489, Test Accuracy: 95.25%
Epoch 56, Train Loss: 0.123302, Train Accuracy: 96.2883%, Test Loss: 0.155181, Test Accuracy: 95.46%
Epoch 57, Train Loss: 0.126946, Train Accuracy: 96.1267%, Test Loss: 0.151798, Test Accuracy: 95.66%
Epoch 58, Train Loss: 0.122535, Train Accuracy: 96.285%, Test Loss: 0.150368, Test Accuracy: 95.62%
Epoch 59, Train Loss: 0.123763, Train Accuracy: 96.2733%, Test Loss: 0.146436, Test Accuracy: 95.85%
Epoch 60, Train Loss: 0.127092, Train Accuracy: 96.2233%, Test Loss: 0.149358, Test Accuracy: 95.55%
Epoch 61, Train Loss: 0.122927, Train Accuracy: 96.29%, Test Loss: 0.15354, Test Accuracy: 95.69%
