Epoch 1, Train Loss: 0.410341, Train Accuracy: 88.86%, Test Loss: 0.361099, Test Accuracy: 88.72%
Epoch 2, Train Loss: 0.293341, Train Accuracy: 92.0667%, Test Loss: 0.340949, Test Accuracy: 89.47%
Epoch 3, Train Loss: 0.276888, Train Accuracy: 92.5733%, Test Loss: 0.326456, Test Accuracy: 90.04%
Epoch 4, Train Loss: 0.269005, Train Accuracy: 92.805%, Test Loss: 0.317524, Test Accuracy: 90.24%
Epoch 5, Train Loss: 0.263097, Train Accuracy: 92.9367%, Test Loss: 0.312777, Test Accuracy: 90.3%
Epoch 6, Train Loss: 0.259052, Train Accuracy: 93.065%, Test Loss: 0.306514, Test Accuracy: 90.54%
Epoch 7, Train Loss: 0.25564, Train Accuracy: 93.215%, Test Loss: 0.305741, Test Accuracy: 90.47%
Epoch 8, Train Loss: 0.252782, Train Accuracy: 93.275%, Test Loss: 0.297711, Test Accuracy: 90.93%
Epoch 9, Train Loss: 0.250356, Train Accuracy: 93.3167%, Test Loss: 0.296927, Test Accuracy: 90.89%
Epoch 10, Train Loss: 0.248436, Train Accuracy: 93.4017%, Test Loss: 0.291316, Test Accuracy: 91.1%
Epoch 11, Train Loss: 0.246972, Train Accuracy: 93.4167%, Test Loss: 0.288421, Test Accuracy: 91.3%
Epoch 12, Train Loss: 0.245929, Train Accuracy: 93.47%, Test Loss: 0.288589, Test Accuracy: 91.23%
Epoch 13, Train Loss: 0.244811, Train Accuracy: 93.4867%, Test Loss: 0.286794, Test Accuracy: 91.3%
Epoch 14, Train Loss: 0.243806, Train Accuracy: 93.49%, Test Loss: 0.286456, Test Accuracy: 91.22%
Epoch 15, Train Loss: 0.242866, Train Accuracy: 93.5533%, Test Loss: 0.281237, Test Accuracy: 91.38%
Epoch 16, Train Loss: 0.242047, Train Accuracy: 93.565%, Test Loss: 0.28124, Test Accuracy: 91.5%
Epoch 17, Train Loss: 0.241434, Train Accuracy: 93.5467%, Test Loss: 0.279392, Test Accuracy: 91.6%
Epoch 18, Train Loss: 0.240847, Train Accuracy: 93.5667%, Test Loss: 0.276646, Test Accuracy: 91.59%
Epoch 19, Train Loss: 0.240304, Train Accuracy: 93.5933%, Test Loss: 0.274823, Test Accuracy: 91.65%
Epoch 20, Train Loss: 0.239935, Train Accuracy: 93.6167%, Test Loss: 0.276338, Test Accuracy: 91.43%
