Epoch 1, Train Loss: 0.401586, Train Accuracy: 88.64%, Test Loss: 0.214986, Test Accuracy: 93.43%
Epoch 2, Train Loss: 0.189082, Train Accuracy: 94.47%, Test Loss: 0.163776, Test Accuracy: 94.98%
Epoch 3, Train Loss: 0.147502, Train Accuracy: 95.6933%, Test Loss: 0.143338, Test Accuracy: 95.49%
Epoch 4, Train Loss: 0.124119, Train Accuracy: 96.395%, Test Loss: 0.131141, Test Accuracy: 95.76%
Epoch 5, Train Loss: 0.108598, Train Accuracy: 96.8333%, Test Loss: 0.126603, Test Accuracy: 95.79%
Epoch 6, Train Loss: 0.097292, Train Accuracy: 97.22%, Test Loss: 0.12264, Test Accuracy: 96.05%
Epoch 7, Train Loss: 0.0891267, Train Accuracy: 97.5083%, Test Loss: 0.123518, Test Accuracy: 95.92%
Epoch 8, Train Loss: 0.0825248, Train Accuracy: 97.6967%, Test Loss: 0.133332, Test Accuracy: 95.51%
Epoch 9, Train Loss: 0.077093, Train Accuracy: 97.8417%, Test Loss: 0.125351, Test Accuracy: 95.76%
Epoch 10, Train Loss: 0.0727054, Train Accuracy: 98.05%, Test Loss: 0.126544, Test Accuracy: 95.78%
Epoch 11, Train Loss: 0.0690661, Train Accuracy: 98.1033%, Test Loss: 0.124138, Test Accuracy: 95.82%
Epoch 12, Train Loss: 0.0660293, Train Accuracy: 98.2117%, Test Loss: 0.10808, Test Accuracy: 96.31%
Epoch 13, Train Loss: 0.0630461, Train Accuracy: 98.285%, Test Loss: 0.107901, Test Accuracy: 96.36%
Epoch 14, Train Loss: 0.0605381, Train Accuracy: 98.345%, Test Loss: 0.102637, Test Accuracy: 96.53%
Epoch 15, Train Loss: 0.0586547, Train Accuracy: 98.4233%, Test Loss: 0.106346, Test Accuracy: 96.38%
Epoch 16, Train Loss: 0.056414, Train Accuracy: 98.495%, Test Loss: 0.104056, Test Accuracy: 96.51%
Epoch 17, Train Loss: 0.0547119, Train Accuracy: 98.5383%, Test Loss: 0.115554, Test Accuracy: 96.17%
Epoch 18, Train Loss: 0.0532671, Train Accuracy: 98.5683%, Test Loss: 0.112489, Test Accuracy: 96.26%
Epoch 19, Train Loss: 0.0519051, Train Accuracy: 98.6333%, Test Loss: 0.108116, Test Accuracy: 96.39%
Epoch 20, Train Loss: 0.0503738, Train Accuracy: 98.6483%, Test Loss: 0.112778, Test Accuracy: 96.32%
Epoch 21, Train Loss: 0.0491817, Train Accuracy: 98.6867%, Test Loss: 0.115923, Test Accuracy: 96.11%
Epoch 22, Train Loss: 0.0482195, Train Accuracy: 98.71%, Test Loss: 0.107294, Test Accuracy: 96.37%
Epoch 23, Train Loss: 0.0473185, Train Accuracy: 98.78%, Test Loss: 0.103719, Test Accuracy: 96.5%
Epoch 24, Train Loss: 0.0463925, Train Accuracy: 98.8117%, Test Loss: 0.111348, Test Accuracy: 96.34%
Epoch 25, Train Loss: 0.0458684, Train Accuracy: 98.7633%, Test Loss: 0.103818, Test Accuracy: 96.62%
Epoch 26, Train Loss: 0.0448734, Train Accuracy: 98.8267%, Test Loss: 0.0989756, Test Accuracy: 96.79%
Epoch 27, Train Loss: 0.0442613, Train Accuracy: 98.875%, Test Loss: 0.101193, Test Accuracy: 96.7%
Epoch 28, Train Loss: 0.0436096, Train Accuracy: 98.8767%, Test Loss: 0.10171, Test Accuracy: 96.68%
Epoch 29, Train Loss: 0.0428553, Train Accuracy: 98.9367%, Test Loss: 0.098124, Test Accuracy: 96.9%
Epoch 30, Train Loss: 0.0423368, Train Accuracy: 98.895%, Test Loss: 0.108417, Test Accuracy: 96.37%
Epoch 31, Train Loss: 0.0419704, Train Accuracy: 98.9667%, Test Loss: 0.0957313, Test Accuracy: 96.99%
Epoch 32, Train Loss: 0.0414934, Train Accuracy: 98.9517%, Test Loss: 0.100277, Test Accuracy: 96.77%
Epoch 33, Train Loss: 0.0409504, Train Accuracy: 99.0017%, Test Loss: 0.0949204, Test Accuracy: 96.96%
Epoch 34, Train Loss: 0.0406853, Train Accuracy: 98.9617%, Test Loss: 0.100071, Test Accuracy: 96.84%
Epoch 35, Train Loss: 0.0401484, Train Accuracy: 99.0017%, Test Loss: 0.103682, Test Accuracy: 96.67%
Epoch 36, Train Loss: 0.0396416, Train Accuracy: 99.005%, Test Loss: 0.0944863, Test Accuracy: 97.01%
Epoch 37, Train Loss: 0.0396434, Train Accuracy: 98.975%, Test Loss: 0.109642, Test Accuracy: 96.51%
Epoch 38, Train Loss: 0.038623, Train Accuracy: 99.04%, Test Loss: 0.0941323, Test Accuracy: 97.03%
Epoch 39, Train Loss: 0.0388752, Train Accuracy: 98.9967%, Test Loss: 0.105016, Test Accuracy: 96.56%
Epoch 40, Train Loss: 0.0383388, Train Accuracy: 99.045%, Test Loss: 0.10383, Test Accuracy: 96.84%
Epoch 41, Train Loss: 0.0376295, Train Accuracy: 99.04%, Test Loss: 0.0978142, Test Accuracy: 97.02%
Epoch 42, Train Loss: 0.0373886, Train Accuracy: 99.08%, Test Loss: 0.0951196, Test Accuracy: 96.97%
Epoch 43, Train Loss: 0.0373547, Train Accuracy: 99.07%, Test Loss: 0.112843, Test Accuracy: 96.35%
Epoch 44, Train Loss: 0.0369015, Train Accuracy: 99.065%, Test Loss: 0.105227, Test Accuracy: 96.71%
Epoch 45, Train Loss: 0.036685, Train Accuracy: 99.0867%, Test Loss: 0.098827, Test Accuracy: 96.76%
Epoch 46, Train Loss: 0.036117, Train Accuracy: 99.0883%, Test Loss: 0.0996103, Test Accuracy: 96.77%
